group,participant_index,ParticipantPrivateID,alpha,beta,lambda,delta,eta,final_signed_true,mean_signed_true,final_signed_instruction,mean_signed_instruction
Implicit Aware,3,11710204,5.22725496385,0.206943305839135,0.04660371532554536,0.947959351075825,-0.1937685650245125,0.3640520761531636,0.2661832633022599,NA,NA
Implicit Aware,4,11710205,0.4553384152198475,0.067358076089904,0.060540833231526876,1.50813113810725,-0.4801269228938665,-0.059860623925581447,-0.06061081180896465,NA,NA
Implicit Aware,5,11710206,3.62323758425,0.5689986061365,0.2548114470545,0.7133791305390075,-0.50479324819875,0.1670947243075982,0.19364959611658356,NA,NA
Implicit Aware,6,11710209,1.556204497325,0.71993156504,0.025879862320386315,0.96540631426,0.09120631239281675,0.2740442725331156,0.2844397414350813,NA,NA
Implicit Aware,7,11710211,0.3565708286041463,0.199592431468075,0.05802343051183963,1.1207884638775,-2.365157994525,0.2980257346254961,0.2982606331580136,NA,NA
Implicit Aware,8,11710214,2.403023413705,-0.32636656784705,0.189786078055075,0.530463162129935,-1.04033565696595,-0.1560609227508285,0.1539984549947257,NA,NA
Implicit Aware,9,11710215,3.7706059232,-0.042815911252477495,0.033900818246296496,1.102294592975,-0.12662053543496,0.36026957922242553,0.36210853491857353,NA,NA
Implicit Aware,10,11710223,0.9992697196745,0.42450276216875,0.1032992153566487,0.834456167872875,-0.1454891935359095,0.383209651483265,0.2177971758013148,NA,NA
Implicit Aware,11,11710225,2.1171259949275,0.899816326315,0.124770132865475,0.72994971173045,-0.2553991860732575,0.05957124510784462,0.1937183981397691,NA,NA
Implicit Aware,12,11710234,0.21432924189498226,0.55296424007,0.03864400612356334,0.72532368007245,-0.7774449915225,0.19114405100998288,0.19171647128038927,NA,NA
Implicit Aware,13,11710244,5.5847010033,0.0227948376669875,0.014168251718955862,0.7616861558419,-0.023263705544333997,0.44255441578256605,0.1951939854753428,NA,NA
Implicit Aware,14,11710247,2.7484176196,0.22017028925510249,0.02963577478040144,0.9130303522889457,-0.494226204507866,0.4045363211816466,0.24553520688921338,NA,NA
Implicit Aware,15,11710250,3.102382859825,-0.079183518257252,0.04371732369099745,1.2040275776859,-0.759232222856,0.37397617720715925,0.36600260608715685,NA,NA
Implicit Aware,16,12075645,3.972239696625,-0.03596243350976225,0.1042063800510825,1.0015963681775,-0.08406762134544825,0.2960534320063213,0.3140378669092166,NA,NA
Implicit Aware,17,12075654,0.2049103715520737,0.314934520444,0.06589592553295825,0.953129986395,-1.8359854335875,0.26561421452037703,0.2777964899224243,NA,NA
Implicit Aware,18,12075666,3.590440875825,0.40554967335000003,0.032776169964628,1.241124916188255,-0.25142158947069,0.29453752243809583,0.2859543460084592,NA,NA
Implicit Aware,19,12075667,0.26482759646788995,0.702992941575,0.019501003037618068,1.4046441127425,0.40239133853075,0.4695641812416653,0.4636844081817123,NA,NA
Implicit Aware,20,12075673,3.571666536975,0.33003241330754,0.10619852039830249,1.044818993283175,-0.3893080038541115,0.2754462542309082,0.2594471782890425,NA,NA
Implicit Aware,21,12075676,3.9045396535,0.51570911502025,0.06413736367210288,1.3319349068565,-0.5438719995195,0.2869903368514084,0.28090820642483033,NA,NA
Implicit Aware,22,12075678,0.3753751195673575,1.098151039315,0.10880598004683395,0.7939046848665,0.08400977953671453,0.10704081186890324,0.21133675861122436,NA,NA
Implicit Aware,23,12075679,4.8489229676,0.034070348734924996,0.05911949447559221,0.51009811651645,-0.508976894346,0.48876091592238635,0.14813959735710824,NA,NA
Implicit Aware,24,12075682,2.0986626342325,1.2234406916675,0.05404473492432597,0.989616550725725,-0.33460413536125,0.311028732734284,0.2882396491249591,NA,NA
Implicit Aware,25,12075683,5.28013152075,0.31604701891048,0.010715058462614325,0.5437094019075702,-0.30251819465515,0.4435254153422734,0.15295412795334215,NA,NA
Implicit Aware,26,12075685,0.15465001794808086,0.3251852412275,0.05539596961495345,1.2431575667125,-1.99831975805,0.4893791052522529,0.4854926137755815,NA,NA
Implicit Aware,27,12075687,1.1050455814275,-0.12460813220325576,0.03737652706342569,1.086201526792,-0.6199377156511076,0.33145382167645576,0.3290325137849872,NA,NA
Implicit Aware,28,12075691,2.347762741265,0.553087002996,0.13899199883078,0.4026045241543512,-0.87654891914,0.45323086940827584,0.13693831004965742,NA,NA
Implicit Aware,29,12075708,5.065629140375,0.13790360062955975,0.08090722632942175,0.898956596523975,-0.05592362546043725,0.23429756466221163,0.24258918319840428,NA,NA
Implicit Aware,30,12075709,5.432309305725,0.1368315177769036,0.090582943900425,0.545303014863125,-0.06084678385325325,0.517917064765425,0.15759223502186334,NA,NA
Implicit Aware,31,12075718,5.580203664275,-0.3425745123274375,0.1137345533308175,0.812830463861925,-0.107861838578343,0.1684956384158115,0.21740412456826314,NA,NA
Implicit Aware,32,12076229,3.0162186545,0.902343628625,0.01388090529281515,0.9021568270425,-0.78455720194,0.24576377786524473,0.24372478850496804,NA,NA
Explicit Undirected,1,14064208,4.94695219745,1.085760264515,0.091881652526025,1.006898896,-0.33169856542225,0.2942766916249808,0.2732502647825642,NA,NA
Explicit Undirected,2,14064212,5.51819705155,-0.2314498864891525,0.063980044814225,0.9922394771625,-0.46763413781450003,0.2864544185056137,0.26832816589765807,NA,NA
Explicit Undirected,3,14064214,2.2055364069675,1.1533153684625,0.287034975643,1.0293117687725,-0.029723198291585002,0.3073183996758422,0.29828927552955425,NA,NA
Explicit Undirected,4,14064250,3.281870232875,0.76012311558,0.0773273896364775,0.9952280710325,-0.547664828655,0.2905533023324781,0.2866907660141985,NA,NA
Explicit Undirected,5,14064879,0.3386998138802233,0.254741142155685,0.12005216137895751,1.019206955115,-0.442222883908075,0.3016282748064639,0.2974207526141616,NA,NA
Explicit Undirected,6,14162208,2.260876182955,0.74681444314,0.113681749445275,1.03816935944,-0.660537873275,0.2997783021892677,0.29120059599026793,NA,NA
Explicit Undirected,7,14162209,3.3562758757749998,1.31907810454,0.11093676416975,0.960421769422,-0.1120401015603225,0.34658291859708856,0.2757161297036526,NA,NA
Explicit Undirected,8,14162210,5.018996505325,0.150518808057182,0.03568247897715975,0.99831593083,0.074902173941203,0.29339703030037967,0.2854588488070458,NA,NA
Explicit Undirected,9,14162216,0.9631879056349862,1.3970052058725,0.1325283777995,0.9768350817725,-0.2786580125501615,0.3083373243157256,0.28627026329780947,NA,NA
Explicit Undirected,10,14162222,3.448221619925,0.55667620241425,0.0938343180865,1.0158214008975,0.110154835642265,0.30463983373523695,0.3091918971649058,NA,NA
Explicit Undirected,11,14162245,5.69344840475,-0.0485955670946445,0.04035876246230375,0.98193107555925,-0.23520813412848499,0.3188117557397022,0.27132829922865814,NA,NA
Explicit Undirected,12,14162265,0.9108045177951597,1.463565423585,0.05175866208456,0.9724065319375,-0.39558095914571256,0.32049543208607034,0.26339452527638463,NA,NA
Explicit Undirected,13,14162268,0.5355823301237402,1.356982266445,0.0928627850961,1.0243785402,-0.19645652339456,0.28999738667026587,0.2744544463428913,NA,NA
Explicit Undirected,14,14162269,3.81663302765,0.377635117264575,0.02730677754987275,1.0307325185875,-0.78375746773,0.29856252159503605,0.2960407652614329,NA,NA
Explicit Undirected,15,14162278,5.577478342125,-0.51230321846,0.05415765166275775,0.976366665775,-0.3086693610571975,0.29087548381338135,0.2772696378866766,NA,NA
Explicit Undirected,16,14162296,5.691667505825,-0.1877528898933565,0.062039928655432,1.00223505645,0.12530379918316725,0.29507914655961365,0.27346799782066855,NA,NA
Explicit Undirected,17,14162334,4.424868794725,0.39419742457555,0.074637610770143345,0.9352201808125,-0.1596550509878175,0.23194346173465585,0.26405077623825673,NA,NA
Explicit Undirected,18,14162335,0.4828092856265451,0.9577650274575,0.13932693691025,1.0245698616125,-0.652798939845,0.2953166723273485,0.2783974164923236,NA,NA
Explicit Undirected,19,14162350,2.907054074375,0.3033056627214025,0.055514098375587496,0.9417848613125,-0.56481050368,0.18330497914722899,0.265907149882902,NA,NA
Explicit Undirected,20,14162386,4.716248458775,0.09593894967318374,0.04808065031260525,0.9638899706975,-0.2084570341810975,0.31293711577893346,0.2824587550486754,NA,NA
Explicit Undirected,21,14162394,4.585276633075,0.12881768337167926,0.02931563311205575,1.0273867427725,-0.12378026938119875,0.3048877216837773,0.291065894155158,NA,NA
Explicit Undirected,22,14162428,0.2077174678296676,1.3255164518725,0.121719615686425,0.97355258802,-0.3516501665896,0.31565844814333777,0.2824640832882526,NA,NA
Explicit Undirected,23,14162434,0.3011068258821912,1.0660885683175,0.12811733465645,0.99814294708,-0.5037816711971,0.29300506968715745,0.2801460978400518,NA,NA
Explicit Undirected,24,14162440,1.619772634525,-0.1652985751634975,0.097585416661015,1.0297273175525,-0.19778218288251326,0.28674714672282386,0.27625574851783535,NA,NA
Explicit Undirected,25,14162457,3.645653796775,0.353504028751325,0.11946135429515,0.89943405043275,-0.12831089179969,0.2051437424881417,0.25084812365143977,NA,NA
Explicit Undirected,26,14162638,0.14459808950636743,0.62502285131,0.242222460117275,0.867460732253,-0.4698533822559,0.46236309277779775,0.2343732806061026,NA,NA
Explicit True,1,15938039,4.84205750945,0.3678190669542275,0.02651996733959825,1.5601624190957024,-0.08960788261805003,-0.17550035419719712,-0.1709634456997166,-0.17550035419719712,-0.1709634456997166
Explicit True,2,15938042,1.59700614502,0.7658002326,0.023524330291740635,1.438800133405,0.013756057440299764,0.40309234058297494,0.4004735642437758,0.40309234058297494,0.4004735642437758
Explicit True,3,15938043,5.6756122358,0.04427381856793,0.040707688998973826,1.5667964416175,-0.0998678780283995,0.13219005304384335,0.12801937218543788,0.13219005304384335,0.12801937218543788
Explicit True,4,15938057,5.445934697525,0.2792473067745625,0.0250389933652349,1.4743607606025002,-0.37809274075785004,0.06593798419340202,0.06323772887964522,0.06593798419340202,0.06323772887964522
Explicit True,5,16001799,5.304132113025,0.50261435610245,0.019923337173858673,1.1067774085167774,-0.1898980735541233,0.04418770639665226,0.022514911646163174,0.04418770639665226,0.022514911646163174
Explicit True,6,16001810,0.592869649423695,0.20758194422475001,0.04926672252044419,1.33766636381,-2.10983360785,0.5470693238241728,0.5429615558487616,0.5470693238241728,0.5429615558487616
Explicit True,7,16001812,5.31275519465,0.7206505517375,0.01635213060327268,1.551894835375,0.5057269568410001,-0.17561915758866364,-0.17422194378521919,-0.17561915758866364,-0.17422194378521919
Explicit True,8,16001813,5.57947044535,-0.126078392863605,0.04979975587545881,1.575323172215,0.18521820248191254,-0.007989377391931285,-0.006560605625265544,-0.007989377391931285,-0.006560605625265544
Explicit True,9,16001822,2.8152610192725,0.8825665583725,0.070093023348896,1.257968294755,-0.7536722571775,0.4758609081735703,0.4728530034929511,0.4758609081735703,0.4728530034929511
Explicit True,10,16001823,5.5332419627,-0.264312801281938,0.09427366617305,0.692410935136681,-0.336603425541034,0.49287149125924234,0.18090785263240292,0.49287149125924234,0.18090785263240292
Explicit True,11,16001825,4.179849087575,0.583713259427875,0.0809013463598185,1.240522877108,-0.27620812901466757,0.12337730078419817,0.1158249632754889,0.12337730078419817,0.1158249632754889
Explicit True,12,16001827,3.57863991375,0.7609797236375,0.0978758394323725,1.379318849733525,-0.1618458387783525,0.5695508828508453,0.5671303608194866,0.5695508828508453,0.5671303608194866
Explicit True,13,16001829,5.23484288495,-0.001995152926082243,0.05146935465325002,1.1470886707925,0.08941532120458826,0.48450384583007167,0.4852712690310016,0.48450384583007167,0.4852712690310016
Explicit True,14,16001833,5.612344935425,-0.16632109688119526,0.04027929877210532,1.6058116573275,0.1549993314435825,0.3967867105582856,0.39573581471861424,0.3967867105582856,0.39573581471861424
Explicit True,15,16001836,3.4361861947,1.141968355545,0.03989463622364837,1.7273963420524998,0.9961923678150011,-0.0206495713632856,-0.022204206379102642,-0.0206495713632856,-0.022204206379102642
Explicit True,16,16001837,0.2724581272675515,0.7326367908525,0.09945379938033075,1.2841646102124997,0.08376768466296185,0.09308072992757621,0.0869658010182511,0.09308072992757621,0.0869658010182511
Explicit True,17,16001846,2.8645394098,0.300283033487,0.16634112846455,1.4712693385250002,0.020655535201135795,0.3943982641797412,0.39281436871661923,0.3943982641797412,0.39281436871661923
Explicit True,18,16001860,1.2107730463605,1.4732301790675,0.01830178514492596,1.484510318024675,-0.534858492085525,0.0980117759946949,0.09741618621496964,0.0980117759946949,0.09741618621496964
Explicit True,19,16002987,5.0210061716,0.18580212693950926,0.06780400892159,1.3502023227455,-0.3641213789362175,-0.0599328674327162,-0.06318996808622614,-0.0599328674327162,-0.06318996808622614
Explicit True,20,16003000,2.05052332979,0.24603999117503225,0.208748145694175,1.3256712377700726,-0.57626756142045,0.14280846554738824,0.14156637116614645,0.14280846554738824,0.14156637116614645
Explicit True,21,16023140,3.193179421175,0.49139746574425,0.0170431558729809,1.6002264364999998,0.798440215959,0.1539475888888424,0.15405323225865622,0.1539475888888424,0.15405323225865622
Explicit True,22,16023183,4.94185925885,-0.21792707236479023,0.04419847877562325,1.570230091945,-0.32040253687375236,-0.03791971548589901,-0.04166711066309846,-0.03791971548589901,-0.04166711066309846
Explicit True,23,16024033,5.2118642929,0.63032865500375,0.01927262993000121,1.3285868286725,1.041390665583315,0.08128913556306938,0.07591542099598109,0.08128913556306938,0.07591542099598109
Explicit True,24,16029771,4.47573438965,0.60877440758,0.05149517426006455,1.2560197249964675,-0.19526270364513,0.4221811282271175,0.41982670809969563,0.4221811282271175,0.41982670809969563
Explicit True,25,16029787,0.5116826118061855,0.019914911114996325,0.05574843294810796,1.524532483818,-0.45948497355015955,0.05276152516661381,0.04920890572839025,0.05276152516661381,0.04920890572839025
Explicit Deceptive,1,15938034,3.89319636515,-0.08907153196116249,0.2992307295675,1.0332432127927482,-0.9126606619025001,0.29629251826203595,0.28954328444107313,-0.29629251826203595,-0.28954328444107313
Explicit Deceptive,2,15938038,0.6698352115428098,0.57055005923375,0.52841049374425,1.16399127438,-0.38047812439324247,0.24762425680557543,0.23935757475237124,-0.24762425680557543,-0.23935757475237124
Explicit Deceptive,3,15938041,2.3150754071,0.30056594306725,0.007078217021937544,0.8379168544193067,-0.559441594501225,0.3851609335733164,0.22330430121621234,-0.3851609335733164,-0.22330430121621234
Explicit Deceptive,4,15938046,0.40646783085060767,1.5080020433625,0.08221926382966716,1.2037318784025,0.2455988513511125,0.01880395909623722,0.016916398618987413,-0.01880395909623722,-0.016916398618987413
Explicit Deceptive,5,15938084,0.39059719559045697,0.42458040127325,0.040920330919249966,0.8034373520340955,-0.516456382967575,-0.04936076374628606,0.21651436581812064,0.04936076374628606,-0.21651436581812064
Explicit Deceptive,6,16001800,3.4447556226975,0.6131798619195,0.12189211259816117,0.880519230841975,-0.44079826696025,0.14878366221224804,0.24288051041993738,-0.14878366221224804,-0.24288051041993738
Explicit Deceptive,7,16001805,4.91515069505,0.4471948303838,0.206837134847,1.2143023246675,-0.718061048495,0.350884628535431,0.3473515310431328,-0.350884628535431,-0.3473515310431328
Explicit Deceptive,8,16001814,0.5017165729745198,1.43034015853,0.051292694777115934,1.104716252708777,-0.3532565971617275,0.35108145175151817,0.3503023734744107,-0.35108145175151817,-0.3503023734744107
Explicit Deceptive,9,16001818,2.957029334945,1.92502624205,0.040542612624774696,1.1356868136015825,-0.27452463854209,0.12923452003076408,0.1225049078302433,-0.12923452003076408,-0.1225049078302433
Explicit Deceptive,10,16001828,3.43211852585,0.53860970646025,0.1778723604324,0.91747181700435,-0.1848436856794825,0.2109411250822706,0.2662386643212217,-0.2109411250822706,-0.2662386643212217
Explicit Deceptive,11,16001832,1.22328237796025,0.7176941460525,0.005029161060870982,0.8487278468390498,-0.2419202247109085,0.1890438027393625,0.2356332344979637,-0.1890438027393625,-0.2356332344979637
Explicit Deceptive,12,16001834,3.620388942425,0.45700498225105,0.08480106862254487,1.1166275202304774,-0.1976447136236775,0.20725366142084511,0.19960606795799216,-0.20725366142084511,-0.19960606795799216
Explicit Deceptive,13,16001835,1.944553845367,1.68569169035,0.93137267085,1.072792871844106,-0.4858352088311775,0.20596286447248335,0.1893448597373072,-0.20596286447248335,-0.1893448597373072
Explicit Deceptive,14,16001840,3.16176269765,0.821305577345,0.020774949927927448,1.1374393227225,-0.60101618073,0.4011941876218007,0.40318828588133815,-0.4011941876218007,-0.40318828588133815
Explicit Deceptive,15,16001842,1.0955415231125,0.412086474985,0.05518098359139763,1.3896078279675124,-0.4937876401862198,-0.07681230408628714,-0.07998960858158505,0.07681230408628714,0.07998960858158505
Explicit Deceptive,16,16001847,1.4446364439675,0.9662189832075,0.014524657574944677,1.1882805363480002,-0.40386082718025,0.33417144489830775,0.3269590047825676,-0.33417144489830775,-0.3269590047825676
Explicit Deceptive,17,16003018,0.9433679541009008,1.567616558755,0.13226652693639435,1.1120456454584562,-0.33955778706075423,0.15971606313087316,0.1461854488104247,-0.15971606313087316,-0.1461854488104247
Explicit Deceptive,18,16023151,2.948598909125,0.43137178267825,0.031765856901129715,0.8974455200104438,-0.186405589730662,0.21448534223741,0.24723797700963548,-0.21448534223741,-0.24723797700963548
Explicit Deceptive,19,16023171,1.622289288355,0.4461863823755,0.16160224906295603,1.0487299516159259,-0.72961728852925,0.2702960144646872,0.2578515931465307,-0.2702960144646872,-0.2578515931465307
Explicit Deceptive,20,16023209,5.4455510856,-0.1088812204861815,0.044056432898731526,1.2892599251525,-0.67545278316225,0.07156620249468593,0.06747235540963026,-0.07156620249468593,-0.06747235540963026
Explicit Deceptive,21,16026769,0.37820687098787903,0.3357078491375,0.010205797570524776,0.7894615569368358,-1.1120878289925,0.30788834267495224,0.2130825001789389,-0.30788834267495224,-0.2130825001789389
Explicit Deceptive,22,16029770,5.469264127625,0.41988642941645,0.005296234392220938,1.0610235309279776,-0.33924112831569997,0.3404956744142589,0.3440910873533419,-0.3404956744142589,-0.3440910873533419
Explicit Deceptive,23,16029774,3.46783634145,-0.235503141310995,0.03566949526849837,1.0740795441035225,-0.2896665987376925,0.23332836895338893,0.22654970120687892,-0.23332836895338893,-0.22654970120687892
Explicit Deceptive,24,16029776,2.968399830825,0.6150244098325,0.023395901003582093,1.0821197741384758,-0.2137603314038375,0.1982980516956958,0.17775269797758228,-0.1982980516956958,-0.17775269797758228
